AmazonShopping
18.21.2.100
Instagram
123.0.0.21.114
Facebook
252.0.0.22.355
YouTube
14.51.51
Snapchat
10.73.0.0
TikTok
14.5.3
AliExpress
8.3.3
Spotify
8.5.40.195
Target
6.48.0
LouisVuitton
5.7.4
